model,ep_idx,eHMI,expert_decision,gen_decision,same,expert_hv_pass_t,expert_ego_pass_t,gen_hv_pass_t,gen_ego_pass_t
GAIL,88,无eHMI,左转先通过,都未通过,False,46,,,
GAIL,89,有eHMI,直行先通过,直行先通过,True,93,61.0,74.0,61.0
GAIL,90,有eHMI,直行先通过,直行先通过,True,127,59.0,64.0,59.0
GAIL,91,无eHMI,左转先通过,都未通过,False,55,,,
GAIL,92,有eHMI,直行先通过,直行先通过,True,103,55.0,87.0,55.0
GAIL,93,无eHMI,直行先通过,直行先通过,True,95,46.0,87.0,46.0
GAIL,94,无eHMI,直行先通过,直行先通过,True,86,46.0,93.0,46.0
GAIL,95,有eHMI,直行先通过,直行先通过,True,89,46.0,74.0,46.0
GAIL,96,有eHMI,直行先通过,直行先通过,True,65,47.0,86.0,47.0
GAIL,97,无eHMI,左转先通过,左转先通过,True,61,,56.0,
GAIL,98,有eHMI,左转先通过,左转先通过,True,63,,61.0,
GAIL,99,有eHMI,直行先通过,直行先通过,True,122,61.0,90.0,61.0
GAIL,100,无eHMI,左转先通过,左转先通过,True,80,,54.0,
GAIL,101,无eHMI,直行先通过,直行先通过,True,106,56.0,107.0,56.0
GAIL,102,无eHMI,直行先通过,直行先通过,True,102,61.0,98.0,61.0
GAIL,103,有eHMI,左转先通过,左转先通过,True,69,,58.0,
GAIL,104,有eHMI,直行先通过,直行先通过,True,116,61.0,97.0,61.0
GAIL,105,无eHMI,左转先通过,左转先通过,True,49,,73.0,
GAIL,106,有eHMI,直行先通过,左转先通过,False,105,64.0,62.0,64.0
GAIL,107,无eHMI,直行先通过,直行先通过,True,87,60.0,69.0,60.0
GAIL,108,有eHMI,左转先通过,左转先通过,True,43,,61.0,
GAIL,109,无eHMI,直行先通过,直行先通过,True,78,46.0,85.0,46.0
GAIL,110,有eHMI,直行先通过,直行先通过,True,90,54.0,82.0,54.0
GAIL,111,有eHMI,直行先通过,直行先通过,True,89,46.0,74.0,46.0
GAIL,112,无eHMI,左转先通过,左转先通过,True,61,,56.0,
GAIL,113,有eHMI,左转先通过,左转先通过,True,63,,61.0,
GAIL,114,有eHMI,直行先通过,直行先通过,True,122,61.0,90.0,61.0
GAIL,115,无eHMI,左转先通过,左转先通过,True,53,,65.0,
GAIL,116,无eHMI,直行先通过,直行先通过,True,102,61.0,98.0,61.0
GAIL,117,有eHMI,左转先通过,左转先通过,True,51,,57.0,
GAIL,118,无eHMI,直行先通过,左转先通过,False,114,64.0,58.0,64.0
GAIL,119,有eHMI,左转先通过,左转先通过,True,43,,61.0,
GAIL,120,无eHMI,直行先通过,直行先通过,True,78,46.0,85.0,46.0
GAIL,121,有eHMI,直行先通过,直行先通过,True,82,41.0,82.0,41.0
GAIL,122,无eHMI,左转先通过,都未通过,False,49,,,
GAIL,123,有eHMI,直行先通过,直行先通过,True,82,41.0,82.0,41.0
GAIL,124,无eHMI,左转先通过,左转先通过,True,72,,61.0,
GAIL,125,有eHMI,左转先通过,左转先通过,True,60,,58.0,
GAIL,126,有eHMI,直行先通过,直行先通过,True,111,61.0,96.0,61.0
GAIL,127,无eHMI,直行先通过,直行先通过,True,101,61.0,120.0,61.0
GAIL,128,无eHMI,直行先通过,直行先通过,True,111,40.0,84.0,40.0
GAIL,129,有eHMI,直行先通过,直行先通过,True,144,55.0,82.0,55.0
GAIL,130,无eHMI,直行先通过,直行先通过,True,92,46.0,92.0,46.0
GAIL,131,有eHMI,直行先通过,直行先通过,True,111,45.0,74.0,45.0
GAIL,132,有eHMI,直行先通过,直行先通过,True,98,47.0,92.0,47.0
GAIL,133,无eHMI,左转先通过,左转先通过,True,68,,63.0,
GAIL,134,有eHMI,左转先通过,左转先通过,True,62,,59.0,
GAIL,135,有eHMI,直行先通过,直行先通过,True,105,61.0,96.0,61.0
GAIL,136,无eHMI,直行先通过,直行先通过,True,106,61.0,116.0,61.0
GAIL,137,无eHMI,左转先通过,都未通过,False,49,,,
GAIL,138,有eHMI,左转先通过,左转先通过,True,53,,64.0,
GAIL,139,无eHMI,左转先通过,左转先通过,True,50,,64.0,
GAIL,140,有eHMI,直行先通过,直行先通过,True,117,54.0,92.0,54.0
GAIL,141,无eHMI,直行先通过,直行先通过,True,71,47.0,98.0,47.0
